StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Age,GenderIdentity,GenderIdentity_6_TEXT,RaceEthnicity,RaceEthnicity_8_TEXT,DisabilityStatus,Level,HighPotential,DevelopmentPrograms,InformalHighPotentia,Tenure,Leadership exper
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What is your current age in years? Please enter a whole number.,How do you describe yourself? - Selected Choice,How do you describe yourself? - Other (please specify) - Text,To which racial/ethnic identity do you most identify? - Selected Choice,To which racial/ethnic identity do you most identify? - Other (please specify) - Text,Do you have a disability? (Either a physical or cognitive disability),Please select the choice that most closely describes your level in your organization.,Have you been formally identified by your organization as a high potential employee.,"Do you participate in development program(s) designed to fast-track participants"" careers (e.g., job rotations, executive MBA program).",Have you been told informally by my organization that you are on an accelerated career path.,How many years have you worked for your current employer? Please enter a whole number.,How many years of leadership experience do you have? Please enter a whole number.
11/6/24 12:21,11/6/24 12:22,Survey Preview,,100,27,True,11/6/24 12:22,R_7IlWE6XAp3CnwdH,33.8693,-117.9296,preview,EN,1,21,,,,,,,,,,,
11/6/24 12:22,11/6/24 12:22,Survey Preview,,100,28,True,11/6/24 12:22,R_7QM7yQV6T9zB6eb,33.8693,-117.9296,preview,EN,1,,,,,,,,,,,,
11/6/24 16:11,11/6/24 16:12,IP Address,217.236.241.197,100,30,True,11/6/24 16:12,R_2D6oc4kYXaXjob1,48.767,9.1827,anonymous,EN,1,33,Male,,Asian / Indian / Southeast Asian,,No,Lower-level manager (supervise one or more employees),No,Yes,No,33,
11/6/24 17:02,11/6/24 17:03,IP Address,217.236.241.197,100,31,True,11/6/24 17:03,R_81BPjrSL439TGsX,48.767,9.1827,anonymous,EN,1,21,Male,,Asian / Indian / Southeast Asian,,No,Lower-level manager (supervise one or more employees),Yes,No,Yes,3,4
11/6/24 17:20,11/6/24 17:21,IP Address,70.23.91.76,100,59,True,11/6/24 17:21,R_6HJIWMfHrdgiWLT,40.6295,-74.0938,anonymous,EN,1,48,Female,,White / Caucasian / European (non-Hispanic),,No,Entry-level non-management / Individual contributor (do not supervise anyone),No,No,No,5,1
11/6/24 17:20,11/6/24 17:23,IP Address,73.184.103.26,100,144,True,11/6/24 17:23,R_5zBXNNYSPg73EqY,33.7173,-84.4783,anonymous,EN,1,60,Male,,American Indian / Alaska Native / Indigenous,,Yes,Senior/Executive,Yes,Yes,Yes,14,30
11/6/24 17:27,11/6/24 17:27,IP Address,5.151.106.201,100,39,True,11/6/24 17:27,R_2ptIHfhtoa6v22A,51.4866,-3.1549,anonymous,EN,1,21,Female,,Mixed / Multiple Identity,,No,Lower-level manager (supervise one or more employees),Yes,No,No,3,1
11/6/24 17:27,11/6/24 17:27,IP Address,81.79.178.41,100,50,True,11/6/24 17:28,R_2kNca6KniqSYuoQ,52.9994,-1.1318,anonymous,EN,1,45,Female,,White / Caucasian / European (non-Hispanic),,No,Lower-level manager (supervise one or more employees),Yes,Yes,Yes,10,6
11/6/24 17:26,11/6/24 17:28,IP Address,174.165.213.76,100,89,True,11/6/24 17:28,R_7gIbInSNvBld3Mk,47.626,-122.0404,anonymous,EN,1,53,Male,,White / Caucasian / European (non-Hispanic),,No,Senior/Executive,No,No,No,4,20
11/6/24 17:26,11/6/24 17:28,IP Address,148.252.156.177,100,77,True,11/6/24 17:28,R_2vztO13jajyWdXz,51.4964,-0.1224,anonymous,EN,1,36,Male,,White / Caucasian / European (non-Hispanic),,No,Senior/Executive,No,No,No,7,7
11/6/24 17:26,11/6/24 17:28,IP Address,174.228.234.18,100,77,True,11/6/24 17:28,R_5zf5l3WVuU9W4QP,39.884,-74.9721,anonymous,EN,1,22,Female,,White / Caucasian / European (non-Hispanic),,Yes,Senior/Executive,Yes,No,No,3,3
11/6/24 17:27,11/6/24 17:28,IP Address,66.170.219.75,100,62,True,11/6/24 17:28,R_7qX1cmXQrUqZwHw,31.3466,-94.8304,anonymous,EN,1,41,Female,,White / Caucasian / European (non-Hispanic),,No,Mid-level,Yes,No,Yes,20,15
11/6/24 17:27,11/6/24 17:28,IP Address,80.229.8.46,100,61,True,11/6/24 17:28,R_8mwTAycMrwvTxQr,51.7385,-2.2194,anonymous,EN,1,54,Male,,White / Caucasian / European (non-Hispanic),,No,Mid-level,No,No,Yes,2,7
11/6/24 17:27,11/6/24 17:28,IP Address,92.24.69.202,100,43,True,11/6/24 17:28,R_2uG0pkhQ5uAFDmF,52.5589,-2.1449,anonymous,EN,1,44,Male,,White / Caucasian / European (non-Hispanic),,No,Mid-level,No,No,No,13,3
11/6/24 17:28,11/6/24 17:29,IP Address,90.242.171.187,100,52,True,11/6/24 17:29,R_8F4hiO64l2Dgzol,52.1915,-0.8986,anonymous,EN,1,22,Male,,Asian / Indian / Southeast Asian,,No,Lower-level manager (supervise one or more employees),Yes,No,No,2,1
11/6/24 17:27,11/6/24 17:30,IP Address,86.23.88.152,100,179,True,11/6/24 17:30,R_2ts9gRopkosaTV9,52.9875,-2.1803,anonymous,EN,1,54,Male,,White / Caucasian / European (non-Hispanic),,No,Mid-level,Yes,No,No,2,12
11/6/24 17:29,11/6/24 17:30,IP Address,76.39.52.133,100,42,True,11/6/24 17:30,R_5TtJFhtxcWVccvm,21.4001,-158.016,anonymous,EN,1,24,Female,,White / Caucasian / European (non-Hispanic),,No,Lower-level manager (supervise one or more employees),Yes,No,Yes,2,1
11/6/24 17:29,11/6/24 17:30,IP Address,57.138.133.160,100,59,True,11/6/24 17:30,R_5S92MRPSV5VUq8l,35.4123,-99.425,anonymous,EN,1,33,Female,,White / Caucasian / European (non-Hispanic),,No,Entry-level non-management / Individual contributor (do not supervise anyone),No,No,No,6,0
