uniqueId,teamName,condition,timezone,stageName,stageDay,goalSetComplete,firstTaskGoal,addTaskGoals,addFirstRelGoal,addRelGoals,addRelGoalsLater,Inclusion_Dimension_1,Inclusion_Dimension_2
84809750,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,1,TRUE, Achievable|| Relevant|I would like it foster relevant work strategies, undefined|I would like to have revenant job tasks,I will develop an employee of the month initiative,,,Uniqueness,Appreciation
84809750,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,3,TRUE,I will pay close attention to time bounds so I can be achieve the best results,,I would stay focused on time to achieve the best outcomes for our goals,,,Uniqueness,Appreciation
84809750,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,4,TRUE,i am going to appreciate my co workers,,,,,Uniqueness,
84809750,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,2,TRUE,I will show appreciation for their hard work,,I would show appreciation to new hires and help them along the way,,,Uniqueness,Appreciation
84809750,PowerfulGrowth,ControlLeader,US/Eastern,Goal-Setting,5,TRUE, i will show appreciation|i will show appreciation to my coworkers,,,,,Uniqueness,
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,3,TRUE, I’m not sure|Im going to have each employee work in the department that they exhibit their strongest attributes. Lizzy will work with Tony using her amazing training skills. This will allow us as a team to better appreciate each employee’s unique skills and how those skills actually translate into increased belongingness.,,I think this fits in to my plans I plan on using today to focus on goals previously not met. My decision to change the organizational structure of our new system training with Lizzy taking the helm fits in perfectly.,,,Belongingness,OrgEfforts
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,1,TRUE,"I will work with my lead assistant Tony who’s struggling to master our new control system designed to o maximize efficiency, reduce waste and improve profitability. Tony has all the necessary skills. He just lacks the confidence to execute.",,"I will bring some morning treats for our 10am meeting, heading to Krispy Kreme shortly.",,,Uniqueness,Appreciation
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,2,TRUE,"I will use the two goals in tandem by allowing each employee to provide examples of how their uniqueness helps to foster their individual growth within their position and the company overall, diving into how we as a company can help to continue to foster their unique strengths.",,"Ok, great today I will sit down with each member of my staff and go over their career journey. We will discuss the positive impact each one has on the company’s present and future success. Diving into their individual strengths and how those strengths align with company’s vision for success.",,,Uniqueness,Appreciation
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,5,TRUE,Yes I’m going to continue with the previous goal of ensuring acclamation to our new system with Tony and other employees.,,,,,Uniqueness,
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,2,TRUE, Repeat|We will talk about this subject in our daily meeting and rehash meeting at the end of the day. I will get everyone’s feedback about how they see themselves fitting into our company and I will add how I also see them as part of our team. The employee will give a way to improve their belongingness and I will also add a suggestion.,,I’m going to continue to focus on acclamation of our new procurement system.,,,Belongingness,OrgEfforts
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,4,TRUE,I’m going to use today’s goal setting to follow up on goals previously set but not achieved. The one I will focus on the most will be working with Tony to successfully execute the new system today he will have success!,,I’m going to buy lunch today for my staff.,,,Uniqueness,Appreciation
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting-Belongingness,4,TRUE,In our meeting we will continue to identify each employee’s unique skill set that differentiates them and helps in establishing their belongingness within the team. We will also discuss ways the company can help foster the belongingness for each employee.,,In our meeting we will go over and identify ways we can improve organizational inclusion,,,Belongingness,OrgEfforts
16808297,AcademicThunder,MCLeader,US/Eastern,Goal-Setting,3,TRUE,"Yesterday I discussed with each employee how their unique qualities, personality wise, cultural background and traits add immense value to our company. In our daily meeting I will follow up asking each employee to provide a way we can foster that uniqueness into more growth for the employee and company. I’ll challenge each employee to provide at least 1 tangible idea for growth that can be implemented.",,,,,Uniqueness,
